Subject,N_Experts,Top_K,Run,Best_Acc
A03,8,4,9,100.0
A03,8,4,10,96.55172413793103
A04,8,4,1,79.3103448275862
A04,8,4,2,79.3103448275862
A04,8,4,3,86.20689655172413
A04,8,4,4,86.20689655172413
A04,8,4,5,82.75862068965517
A04,8,4,6,86.20689655172413
A04,8,4,7,86.20689655172413
A04,8,4,8,75.86206896551724
A04,8,4,9,82.75862068965517
A04,8,4,10,82.75862068965517
A01,16,1,1,89.65517241379311
A01,16,1,2,93.10344827586206
A01,16,1,3,89.65517241379311
A01,16,1,4,86.20689655172413
A01,16,1,5,89.65517241379311
A01,16,1,6,86.20689655172413
A01,16,1,7,89.65517241379311
A01,16,1,8,82.75862068965517
A01,16,1,9,89.65517241379311
A01,16,1,10,86.20689655172413
A03,16,1,1,96.55172413793103
A03,16,1,2,100.0
A03,16,1,3,100.0
A03,16,1,4,100.0
A03,16,1,5,100.0
A03,16,1,6,96.55172413793103
A03,16,1,7,100.0
A03,16,1,8,96.55172413793103
A03,16,1,9,100.0
A03,16,1,10,100.0
A04,16,1,1,89.65517241379311
A04,16,1,2,86.20689655172413
A04,16,1,3,82.75862068965517
A04,16,1,4,86.20689655172413
A04,16,1,5,79.3103448275862
A04,16,1,6,82.75862068965517
A04,16,1,7,82.75862068965517
A04,16,1,8,86.20689655172413
A04,16,1,9,79.3103448275862
A04,16,1,10,82.75862068965517
A01,16,2,1,86.20689655172413
A01,16,2,2,93.10344827586206
A01,16,2,3,89.65517241379311
A01,16,2,4,86.20689655172413
A01,16,2,5,93.10344827586206
A01,16,2,6,86.20689655172413
A01,16,2,7,89.65517241379311
A01,16,2,8,86.20689655172413
A01,16,2,9,89.65517241379311
A01,16,2,10,86.20689655172413
A03,16,2,1,96.55172413793103
A03,16,2,2,100.0
A03,16,2,3,100.0
A03,16,2,4,100.0
A03,16,2,5,96.55172413793103
A03,16,2,6,96.55172413793103
A03,16,2,7,100.0
A03,16,2,8,100.0
A03,16,2,9,100.0
A03,16,2,10,96.55172413793103
A04,16,2,1,89.65517241379311
A04,16,2,2,86.20689655172413
A04,16,2,3,79.3103448275862
A04,16,2,4,82.75862068965517
A04,16,2,5,72.41379310344827
A04,16,2,6,82.75862068965517
A04,16,2,7,82.75862068965517
A04,16,2,8,82.75862068965517
A04,16,2,9,82.75862068965517
A04,16,2,10,82.75862068965517
A01,16,4,1,89.65517241379311
A01,16,4,2,93.10344827586206
A01,16,4,3,89.65517241379311
A01,16,4,4,86.20689655172413
A01,16,4,5,86.20689655172413
A01,16,4,6,82.75862068965517
A01,16,4,7,86.20689655172413
A01,16,4,8,86.20689655172413
A01,16,4,9,89.65517241379311
A01,16,4,10,86.20689655172413
A03,16,4,1,96.55172413793103
A03,16,4,2,100.0
A03,16,4,3,100.0
A03,16,4,4,100.0
A03,16,4,5,100.0
A03,16,4,6,96.55172413793103
A03,16,4,7,100.0
A03,16,4,8,100.0
A03,16,4,9,100.0
A03,16,4,10,96.55172413793103
A04,16,4,1,89.65517241379311
A04,16,4,2,86.20689655172413
A04,16,4,3,82.75862068965517
A04,16,4,4,82.75862068965517
A04,16,4,5,72.41379310344827
A04,16,4,6,82.75862068965517
A04,16,4,7,86.20689655172413
A04,16,4,8,82.75862068965517
A04,16,4,9,86.20689655172413
A04,16,4,10,82.75862068965517
